GeneName;ID;baseMean;log2FC;pval;padj
37;ENSG00000122034;33.825375;5.002013;8.35609884361037e-251;3.38541376006843e-248
38;ENSG00000026297;33.507496;4.788953;3.7485614129092797e-246;1.4833842093503298e-243
39;ENSG00000125534;33.50184;4.756525;4.5317326060976795e-246;1.7525445914854099e-243
40;ENSG00000108639;33.32089;4.960648;1.9240777468263098e-243;7.117414552173159e-241
41;ENSG00000243678;33.21229;4.299408;7.15497138789774e-242;2.5904041092865502e-239
42;ENSG00000142676;32.81001;2.5011334;4.23901308868644e-236;1.50273013993934e-233
43;ENSG00000196126;32.26803;5.0377135;1.9654063072918597e-228;6.688670744975659e-226
44;ENSG00000162434;31.780382;4.5936737;1.2084427764357398e-221;4.0319337811432293e-219
45;ENSG00000167658;31.515263;3.078253;5.36779400709123e-218;1.7565073620127795e-215
46;ENSG00000198918;31.350428;2.8616602;9.599012271182809e-216;3.08182627936692e-213
47;ENSG00000083845;31.135237;3.0502954;8.03636457842473e-213;2.4863050848449998e-210
48;ENSG00000128340;31.083204;4.321156;4.062267652663139e-212;1.23434904245921e-209
49;ENSG00000138326;30.822683;2.9258618;1.3017051352029498e-208;3.8859323825637394e-206
50;ENSG00000250479;30.805199000000002;4.7330055;2.2323446505779697e-208;6.549237340385299e-206
51;ENSG00000185883;30.802343;4.3951163;2.43784308099234e-208;7.03090472307892e-206
52;ENSG00000204628;30.759762;3.049591;9.053616807653999e-208;2.5676057266506796e-205
53;ENSG00000229117;30.64737;1.9653615;2.86475166930028e-206;7.991248263084179e-204
54;ENSG00000186395;30.568777;4.635312;3.1837623104109995e-205;8.737887011927988e-203
55;ENSG00000197958;30.383837;2.95999;8.981983405555379e-203;2.42599094649096e-200
56;ENSG00000198771;30.366537;4.259438;1.51997509317036e-202;4.0412337789666994e-200
57;ENSG00000109475;30.332582;2.5457933;4.26455000535829e-202;1.1163935829411798e-199
58;ENSG00000063177;30.220396;2.7359228;1.2781862715739899e-200;3.2953966056216697e-198
59;ENSG00000143543;30.145096;4.453451;1.24371818423916e-199;3.1586729288079796e-197
60;ENSG00000213741;29.843641;3.3901117;1.06159852272686e-195;2.65649418569415e-193
61;ENSG00000007312;29.55521;4.2045107;5.6288027557773296e-192;1.36828153846153e-189
62;ENSG00000182196;29.501364;4.5333686;2.76523484801779e-191;6.6272163625169995e-189
63;ENSG00000270800;29.447886;3.1411686;1.3399258748652e-190;3.1666914842647597e-188
64;ENSG00000142937;29.427671;2.2389007;2.4310985495698696e-190;5.5963418553140295e-188
65;ENSG00000065978;29.427635;3.9735975;2.4337640884652e-190;5.5963418553140295e-188
66;ENSG00000034510;29.223097;2.861792;9.868605641687369e-188;2.2389892479860298e-185
67;ENSG00000285641;29.221708;4.496627;1.02777872929318e-187;2.3011424812700897e-185
68;ENSG00000177885;29.221218;4.3414884;1.04267336949602e-187;2.30417273446029e-185
69;ENSG00000166913;29.199797;3.9421163;1.95076221408527e-187;4.255662799342939e-185
70;ENSG00000129824;29.100460000000002;3.8997169;3.54204432062775e-186;7.629294450607808e-184
71;ENSG00000228987;29.094934;3.394238;4.16066571677688e-186;8.849735979584429e-184
72;ENSG00000103187;29.08994;4.3578725;4.8124630930027504e-186;1.0109737282782098e-183
73;ENSG00000198668;29.01492;4.0038934;4.26602135750488e-185;8.852514563329649e-183
74;ENSG00000288145;28.966293;4.17161;1.7497771453975097e-184;3.5872539645884394e-182
75;ENSG00000147403;28.897783;1.9026449;1.2730194076711798e-183;2.5787736001110395e-181
76;ENSG00000108298;28.679148;2.2976947;6.944463773999649e-181;1.39019994798092e-178
77;ENSG00000108107;28.576696;2.431131;1.30911128254234e-179;2.59021367252795e-177
78;ENSG00000171863;28.490501;2.8184514;1.53603329009688e-178;3.00426924876879e-176
79;ENSG00000181029;28.339308;5.5371604;1.1337523756463e-176;2.1922648209087997e-174
80;ENSG00000146278;27.88208;3.1722066;4.400743342941488e-171;8.41382569926881e-169
81;ENSG00000026025;27.880205;3.9951143;4.637400454892309e-171;8.76777846004973e-169
82;ENSG00000198755;27.757704;3.1038954;1.40666505812707e-169;2.6303090801197996e-167
83;ENSG00000136732;27.755009;4.4963512;1.51605373057128e-169;2.8040402477609596e-167
84;ENSG00000223367;27.65688;2.8730407;2.3067332387995593e-168;4.1756779565333395e-166
85;ENSG00000122359;27.646217;4.40933;3.0989281353968593e-168;5.550669594938219e-166
86;ENSG00000168028;27.543707;2.5580468;5.26429552979161e-167;9.330963826555628e-165
87;ENSG00000128218;27.499601;4.1399703;1.7750259912765098e-166;3.1137981719135093e-164
88;ENSG00000182899;27.200811;3.0065491;6.35303564945891e-163;1.10309443480809e-160
89;ENSG00000064666;27.153898;3.7976944;2.2773279288111497e-162;3.91424364006571e-160
90;ENSG00000196656;27.062212;3.5944452;2.7435024464560098e-161;4.668343762889539e-159
91;ENSG00000107438;27.017136;3.9316316;9.297594372123669e-161;1.5664145132282798e-158
92;ENSG00000100721;27.001564;4.0376506;1.4167245533990498e-160;2.3634299020233497e-158
93;ENSG00000254772;26.813334;3.3176932;2.25899722670319e-158;3.7319511465612996e-156
94;ENSG00000197043;26.80411;3.7894554;2.89376912709485e-158;4.734651487177499e-156
95;ENSG00000122406;26.795612;2.830723;3.6349538828086097e-158;5.8907024066544e-156
96;ENSG00000186298;26.647282;4.036701;1.9243340619480098e-156;3.0891007922742797e-154
97;ENSG00000177606;26.526207;3.24249;4.83328816200622e-155;7.686283305111948e-153
98;ENSG00000089327;26.429056;3.5335584;6.352869428024729e-154;1.0009298721043398e-151
99;ENSG00000142669;26.397196;3.83045;1.4755689985124998e-153;2.3035121173108898e-151
0;ENSG00000237022;42.58871;7.1127467;0;0
1;ENSG00000225201;40.823986;5.7788987;0;0
2;ENSG00000198804;40.494183;1.3560053;0;0
3;ENSG00000116191;39.2432;3.0689104;0;0
4;ENSG00000167483;38.32414;3.8288019;0;0
5;ENSG00000236693;35.524498;7.0115914;2.05799366351761e-276;5.002688596916509e-274
6;ENSG00000198502;34.72541;5.3925643;3.25863725740635e-264;7.10884250923417e-262
7;ENSG00000198786;34.06162;1.6051387;2.73140796164955e-254;5.59971540667817e-252
8;ENSG00000269028;33.20039;1.0912747;1.0627363792597398e-241;2.1027351429632203e-239
9;ENSG00000196126;32.413193;4.005915;1.7891981043857798e-230;3.2736553703471396e-228
10;ENSG00000156738;31.793598;1.3690833;7.935900846810378e-222;1.3640130182760097e-219
11;ENSG00000234794;31.573565;5.498196;8.516973846138219e-219;1.42083163692047e-216
12;ENSG00000224608;31.27233;3.7908714;1.1100054263176398e-214;1.7988430794496196e-212
13;ENSG00000153064;31.250198;2.0227828;2.2186922193198997e-214;3.5283426919577094e-212
15;ENSG00000206435;30.33558;5.414954;3.89340793696816e-202;5.61442622503816e-200
16;ENSG00000168066;29.786663;2.415011;5.8150794512177796e-195;8.110605896878829e-193
18;ENSG00000144649;29.569134;1.9318169;3.7278551210267695e-192;5.034379582491389e-190
20;ENSG00000227715;28.565031;4.2437916;1.8276872157784e-179;2.33834027546505e-177
21;ENSG00000114861;27.752401;1.8150706;1.63001189478316e-169;1.9811630286878797e-167
22;ENSG00000255823;27.71267;1.0301577;4.91302493660501e-169;5.929080306473109e-167
23;ENSG00000112182;27.407791;3.9666;2.2145905951044296e-165;2.5810598333080096e-163
24;ENSG00000100201;27.284018;2.8141537;6.564737143583539e-164;7.599018179266489e-162
25;ENSG00000135074;26.781094;4.7876625;5.365908244245299e-158;6.087086312271869e-156
26;ENSG00000144218;26.618622;2.1442802;4.132773508942089e-156;4.626531186063069e-154
28;ENSG00000163660;25.814533;1.9439131;6.090400748542169e-147;6.517877933156829e-145
29;ENSG00000231286;25.33635;4.9766183;1.2707370339699799e-141;1.3347445290143898e-139
31;ENSG00000082293;25.06847;3.9152753;1.0981712520624399e-138;1.11229059673182e-136
32;ENSG00000125740;24.965378;3.508112;1.45386519048341e-137;1.43831221402708e-135
33;ENSG00000117616;24.864714;2.6460097;1.7927410925668096e-136;1.74315899606382e-134
34;ENSG00000143297;24.64289;4.044637;4.38608690307795e-134;4.1694779185907495e-132
35;ENSG00000206452;24.559658;4.51058;3.4105023331283394e-133;3.1712080710662197e-131
36;ENSG00000121210;24.494385;3.5549178;1.6953214577900198e-132;1.55094569493306e-130
37;ENSG00000079950;24.191114;3.0329666;2.7593829870625398e-129;2.4712453109398e-127
39;ENSG00000262418;23.83492;2.0446205;1.45163724325329e-125;1.2798476337408299e-123
40;ENSG00000137478;23.715984;3.4042497;2.46667263485785e-124;2.15245648998673e-122
41;ENSG00000163513;23.253975;3.7012105;1.2967326194718499e-119;1.09777125636482e-117
42;ENSG00000206503;23.241583;3.6824412;1.73058260330795e-119;1.4578016622716898e-117
44;ENSG00000101596;23.060532;1.7217755;1.1532728790194098e-117;9.4346592833626e-116
45;ENSG00000162924;23.048573;1.160406;1.5201827442430899e-117;1.23767605626987e-115
46;ENSG00000141298;22.6375;2.780275;1.85252206243595e-113;1.47301473899113e-111
47;ENSG00000133872;22.333576;2.296973;1.74399773233098e-110;1.37388265802518e-108
48;ENSG00000115232;22.26537;2.9002879;8.00598482099186e-110;6.2490751244952986e-108
49;ENSG00000204592;22.228909;3.3151274;1.8046980997582197e-109;1.4022257016203595e-107
50;ENSG00000147050;22.065315;3.9866369;6.80919462734894e-108;5.195751380222849e-106
51;ENSG00000170345;21.811152;2.5840986;1.8184082991254403e-105;1.38134087579993e-103
52;ENSG00000127603;21.635056;3.1855228;8.40496540496261e-104;6.27275839170368e-102
53;ENSG00000198382;21.100927;2.3950608;7.79922484785371e-99;5.483950826904079e-97
54;ENSG00000196352;20.891878;2.5747106;6.347415220297879e-97;4.426541696253639e-95
56;ENSG00000206450;20.619265;3.8254228;1.8433841784560697e-94;1.2546810072243398e-92
58;ENSG00000111913;20.398693;1.5035616;1.7174292087277597e-92;1.13270447347719e-90
59;ENSG00000163864;20.156502;2.1685748;2.35988520691381e-90;1.49835099555393e-88
60;ENSG00000152601;20.136703;1.0234569;3.52004524057309e-90;2.2266576138881702e-88
61;ENSG00000173212;19.96408;2.1175098;1.13091039672217e-88;7.023201208257109e-87
62;ENSG00000096150;19.810247;4.0732102;2.42883652014782e-87;1.48665763405882e-85
63;ENSG00000145349;19.742392;2.7392163;9.32560166049844e-87;5.68761426003733e-85
64;ENSG00000081320;19.723904;1.1856004;1.3443860715138399e-86;8.17002621174265e-85
65;ENSG00000231939;19.403364;3.6699984;7.228213248438119e-84;4.3156237415937896e-82
66;ENSG00000165168;19.312374;2.3365338;4.2268963055070496e-83;2.49739123383708e-81
67;ENSG00000112232;19.299446;3.766477;5.42883644974133e-83;3.19643878992382e-81
68;ENSG00000232126;19.190655;3.1967776;4.43020549163801e-82;2.58165673444221e-80
69;ENSG00000173200;18.861444;2.2064192;2.36665247854196e-79;1.3290745404247498e-77
70;ENSG00000065413;18.825169;1.9126375;4.6970475326772505e-79;2.6119268240534597e-77
71;ENSG00000235657;18.531801;2.6570055;1.1439287194116699e-76;6.140407283756789e-75
72;ENSG00000143924;18.447746;1.8107773;5.4365547795148995e-76;2.8999503488472e-74
73;ENSG00000196735;18.399897;2.202527;1.3161425377567498e-75;6.95511845418287e-74
74;ENSG00000075884;18.34985;1.9063871;3.3102403542857e-75;1.73313999595463e-73
